Date,Open,High,Low,Close,Adj Close,Volume
2023-04-20,188.500000,196.649994,187.000000,195.800003,195.800003,11055623
2023-04-21,200.000000,200.500000,193.600006,199.250000,199.250000,11239848
2023-04-24,199.000000,203.399994,194.399994,201.399994,201.399994,6274761
2023-04-25,201.000000,210.399994,200.000000,205.649994,205.649994,11876735
2023-04-26,206.250000,214.000000,203.300003,211.350006,211.350006,8721982
2023-04-27,211.300003,216.000000,210.500000,214.149994,214.149994,6881701
2023-04-28,215.649994,224.850006,215.000000,224.850006,224.850006,7457724
2023-05-02,230.000000,236.050003,227.649994,235.949997,235.949997,15316767
2023-05-03,235.449997,244.899994,224.149994,231.649994,231.649994,19375629
2023-05-04,231.000000,239.800003,230.649994,238.149994,238.149994,7562540
2023-05-05,240.899994,243.399994,236.500000,239.850006,239.850006,5879771
2023-05-08,244.000000,247.800003,235.350006,238.699997,238.699997,6805988
2023-05-09,240.000000,243.800003,238.050003,240.300003,240.300003,4510073
2023-05-10,240.000000,240.300003,233.100006,238.199997,238.199997,3832037
2023-05-11,239.000000,244.800003,238.500000,242.649994,242.649994,5550783
2023-05-12,243.000000,244.350006,238.500000,240.850006,240.850006,3106404
2023-05-15,240.000000,241.550003,231.500000,235.850006,235.850006,3734399
2023-05-16,235.000000,239.899994,235.000000,236.199997,236.199997,2958928
2023-05-17,236.000000,237.550003,232.000000,234.350006,234.350006,2729228
2023-05-18,235.550003,236.449997,224.000000,225.050003,225.050003,4530928
2023-05-19,223.850006,236.300003,214.000000,236.100006,236.100006,15387039
2023-05-22,244.000000,247.899994,243.000000,247.899994,247.899994,2264418
2023-05-23,260.250000,260.250000,260.250000,260.250000,260.250000,891496
2023-05-24,266.399994,272.899994,253.350006,256.049988,256.049988,25402451
2023-05-25,256.649994,264.500000,253.300003,259.149994,259.149994,7465428
2023-05-26,261.549988,263.799988,257.000000,258.049988,258.049988,3436434
2023-05-29,259.899994,261.700012,255.500000,256.399994,256.399994,2581847
2023-05-30,257.000000,257.799988,250.199997,251.100006,251.100006,2767227
2023-05-31,251.000000,256.700012,243.250000,249.649994,249.649994,8595331
2023-06-01,252.550003,257.850006,251.000000,254.149994,254.149994,4241162
2023-06-02,255.550003,261.299988,253.250000,255.649994,255.649994,4140222
2023-06-05,256.700012,265.000000,254.600006,259.450012,259.450012,5985089
2023-06-06,263.000000,265.000000,258.500000,263.000000,263.000000,4579408
2023-06-07,267.850006,281.649994,267.000000,274.850006,274.850006,17632425
2023-06-08,279.799988,286.000000,273.950012,279.149994,279.149994,11017620
2023-06-09,282.500000,282.950012,275.100006,276.200012,276.200012,4207318
